molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL111217,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\C(=O)O,IC50,6.8,nM,8.17,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL111217,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\C(=O)O,IC50,6.8,nM,8.17,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL111217,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\C(=O)O,IC50,6.8,nM,8.17,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL130231,CCC(C)(C)c1cc(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)c(OCC(F)F)c(C(C)(C)CC)c1,IC50,13.7,nM,7.86,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL130231,CCC(C)(C)c1cc(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)c(OCC(F)F)c(C(C)(C)CC)c1,IC50,13.7,nM,7.86,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL337393,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F,IC50,4.6,nM,8.34,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL337393,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F,IC50,4.6,nM,8.34,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL131826,CCCCOc1c(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(C)C,IC50,4.7,nM,8.33,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL131826,CCCCOc1c(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(C)C,IC50,4.7,nM,8.33,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL335242,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)(F)F)=C\C(=O)O,IC50,7.2,nM,8.14,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL335242,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)(F)F)=C\C(=O)O,IC50,7.2,nM,8.14,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL131122,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(F)(F)C(F)(F)F,IC50,10.7,nM,7.97,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL131122,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(F)(F)C(F)(F)F,IC50,10.7,nM,7.97,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL130317,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccco2)cc(C(C)C)c1OCC(F)F,IC50,3.6,nM,8.44,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL130317,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccco2)cc(C(C)C)c1OCC(F)F,IC50,3.6,nM,8.44,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL130232,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F,IC50,3.9,nM,8.41,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL130232,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F,IC50,3.9,nM,8.41,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL133915,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F,IC50,2.2,nM,8.66,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL133915,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F,IC50,2.2,nM,8.66,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL422088,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F,IC50,3.1,nM,8.51,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL422088,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F,IC50,3.1,nM,8.51,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL133896,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,IC50,5.3,nM,8.28,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL133896,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,IC50,5.3,nM,8.28,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL75133,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,IC50,6.0,nM,8.22,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL75133,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,IC50,6.0,nM,8.22,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL75133,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,IC50,6.0,nM,8.22,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL424269,CCCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,IC50,4.0,nM,8.4,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL424269,CCCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,IC50,4.0,nM,8.4,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL132568,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,IC50,5.1,nM,8.29,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL132568,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C,IC50,5.1,nM,8.29,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL130374,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccs2)cc(C(C)C)c1OCC(F)F,IC50,1.9,nM,8.72,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL130374,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccs2)cc(C(C)C)c1OCC(F)F,IC50,1.9,nM,8.72,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL424639,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(-c2ccccc2)c1OCC(F)F,IC50,57.9,nM,7.24,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL424639,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(-c2ccccc2)c1OCC(F)F,IC50,57.9,nM,7.24,,CHEMBL656173,8,CHEMBL2061,CHEMBL1136440,7uw4,P19793
CHEMBL289057,CCOc1c(-c2cccc3cc(/C(C)=C/C(=O)O)oc23)cc(C(C)C)cc1C(C)C,IC50,,nM,,Not Determined,CHEMBL799678,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL289057,CCOc1c(-c2cccc3cc(/C(C)=C/C(=O)O)oc23)cc(C(C)C)cc1C(C)C,IC50,,nM,,Not Determined,CHEMBL799678,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41890,CCOc1c(-c2cccc3sc(/C(C)=C/C(=O)O)cc23)cc(C(C)C)cc1C(C)C,IC50,,nM,,Not Determined,CHEMBL799678,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41890,CCOc1c(-c2cccc3sc(/C(C)=C/C(=O)O)cc23)cc(C(C)C)cc1C(C)C,IC50,,nM,,Not Determined,CHEMBL799678,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL2372524,C[C@H](NC(=O)[C@H](Cc1ccccc1)NP(=O)(O)O)C(=O)NCC(N)=O,IC50,20.0,nM,7.7,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL2372524,C[C@H](NC(=O)[C@H](Cc1ccccc1)NP(=O)(O)O)C(=O)NCC(N)=O,IC50,20.0,nM,7.7,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41675,CCCOc1c(-c2cccc3cc(/C(C)=C/C(=O)O)oc23)cc(C(C)C)cc1C(C)C,IC50,128.0,nM,6.89,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41675,CCCOc1c(-c2cccc3cc(/C(C)=C/C(=O)O)oc23)cc(C(C)C)cc1C(C)C,IC50,128.0,nM,6.89,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41260,C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCC(F)(F)F)cccc2s1,IC50,14.0,nM,7.85,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41260,C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCC(F)(F)F)cccc2s1,IC50,14.0,nM,7.85,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL43238,C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCCC(F)F)cccc2s1,IC50,16.0,nM,7.8,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL43238,C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCCC(F)F)cccc2s1,IC50,16.0,nM,7.8,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL290399,C/C(=C\C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCCCF)c2o1,IC50,194.0,nM,6.71,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL290399,C/C(=C\C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCCCF)c2o1,IC50,194.0,nM,6.71,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL288436,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C,IC50,8.0,nM,8.1,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL288436,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C,IC50,8.0,nM,8.1,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL288436,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C,IC50,8.0,nM,8.1,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL288436,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C,IC50,8.0,nM,8.1,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL288436,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C,IC50,8.0,nM,8.1,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41422,C/C(=C(/F)C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCC(F)F)c2o1,IC50,22.0,nM,7.66,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41422,C/C(=C(/F)C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCC(F)F)c2o1,IC50,22.0,nM,7.66,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL44420,C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3C)cccc2s1,IC50,,nM,,Not Determined,CHEMBL799678,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL44420,C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3C)cccc2s1,IC50,,nM,,Not Determined,CHEMBL799678,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41146,C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCCCF)cccc2s1,IC50,8.0,nM,8.1,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41146,C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCCCF)cccc2s1,IC50,8.0,nM,8.1,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL42314,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,IC50,0.0,nM,,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL42314,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,IC50,0.0,nM,,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL42314,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,IC50,0.0,nM,,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL42314,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,IC50,0.0,nM,,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL42314,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,IC50,0.0,nM,,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL42314,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,IC50,0.0,nM,,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL290761,C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCC(F)F)cccc2s1,IC50,24.0,nM,7.62,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL290761,C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCC(F)F)cccc2s1,IC50,24.0,nM,7.62,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41742,CCCOc1c(-c2cccc3sc(/C(C)=C/C(=O)O)cc23)cc(C(C)C)cc1C(C)C,IC50,16.0,nM,7.8,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL41742,CCCOc1c(-c2cccc3sc(/C(C)=C/C(=O)O)cc23)cc(C(C)C)cc1C(C)C,IC50,16.0,nM,7.8,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL290246,CCCCOc1c(-c2cccc3cc(/C(C)=C(\F)C(=O)O)oc23)cc(C(C)C)cc1C(C)C,IC50,11.0,nM,7.96,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL290246,CCCCOc1c(-c2cccc3cc(/C(C)=C(\F)C(=O)O)oc23)cc(C(C)C)cc1C(C)C,IC50,11.0,nM,7.96,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL39206,C/C(=C\C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCC(F)(F)F)c2o1,IC50,347.0,nM,6.46,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL39206,C/C(=C\C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCC(F)(F)F)c2o1,IC50,347.0,nM,6.46,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL417520,CCOc1c(-c2cccc3cc(/C(C)=C/C(=O)O)sc23)cc(C(C)C)cc1C(C)C,IC50,,nM,,Not Determined,CHEMBL799678,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL417520,CCOc1c(-c2cccc3cc(/C(C)=C/C(=O)O)sc23)cc(C(C)C)cc1C(C)C,IC50,,nM,,Not Determined,CHEMBL799678,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL265051,C/C(=C\C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCC(F)F)c2o1,IC50,300.0,nM,6.52,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL265051,C/C(=C\C(=O)O)c1cc2cccc(-c3cc(C(C)C)cc(C(C)C)c3OCC(F)F)c2o1,IC50,300.0,nM,6.52,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL291034,CCCCCCCOc1c(-c2cccc3sc(/C(C)=C/C(=O)O)cc23)cc(C(C)(C)C)cc1C(C)(C)C,IC50,83.0,nM,7.08,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL291034,CCCCCCCOc1c(-c2cccc3sc(/C(C)=C/C(=O)O)cc23)cc(C(C)(C)C)cc1C(C)(C)C,IC50,83.0,nM,7.08,,CHEMBL799677,8,CHEMBL2061,CHEMBL1137844,7uw4,P19793
CHEMBL275311,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL275311,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL32505,C/C(=C\c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL32505,C/C(=C\c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL424636,C/C(=C\c1ccc(C(=O)O)cc1)c1cc2c(cc1C(C)C)C(C)(C)CCC2(C)C,IC50,320.0,nM,6.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,1000.0,nM,,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL284937,CCc1cc2c(cc1/C(C)=C/c1ccc(C(=O)O)cc1)C(C)(C)CCC2(C)C,IC50,320.0,nM,6.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,IC50,32.0,nM,7.5,,CHEMBL798314,8,CHEMBL2061,CHEMBL1127810,7uw4,P19793
