molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,IC50,3700.0,nM,5.43,,CHEMBL5541099,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,IC50,3700.0,nM,5.43,,CHEMBL5541099,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,IC50,3700.0,nM,5.43,,CHEMBL5541099,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,Ki,2000.0,nM,5.7,,CHEMBL5541100,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,Ki,2000.0,nM,5.7,,CHEMBL5541100,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,Ki,2000.0,nM,5.7,,CHEMBL5541100,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,Ki,2000.0,nM,5.7,,CHEMBL5541100,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,Ki,2000.0,nM,5.7,,CHEMBL5541100,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,Ki,2000.0,nM,5.7,,CHEMBL5541101,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,Ki,2000.0,nM,5.7,,CHEMBL5541101,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,Ki,2000.0,nM,5.7,,CHEMBL5541101,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,Ki,2000.0,nM,5.7,,CHEMBL5541101,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL1697771,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,Ki,2000.0,nM,5.7,,CHEMBL5541101,9,CHEMBL5725045,CHEMBL5537191,8u7e,Q8TF42
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,578.05,nM,6.24,,CHEMBL5652748,9,CHEMBL5725045,CHEMBL5649169,8u7e,Q8TF42
