molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3350951,C[C@H](/C=C/C[C@H](O)C12CC3CC(CC(C3)C1)C2)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,IC50,50.0,nM,7.3,,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL3350951,C[C@H](/C=C/C[C@H](O)C12CC3CC(CC(C3)C1)C2)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,IC50,50.0,nM,7.3,,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL263638,C=C1C[C@H](C[C@@H](C)[C@H]2CC[C@H]3/C(=C/C=C4C[C@@H](O)C(=C)[C@H](O)C4)CCC[C@]23C)OC1=O,IC50,300.0,nM,6.52,,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL263638,C=C1C[C@H](C[C@@H](C)[C@H]2CC[C@H]3/C(=C/C=C4C[C@@H](O)C(=C)[C@H](O)C4)CCC[C@]23C)OC1=O,IC50,300.0,nM,6.52,,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL263638,C=C1C[C@H](C[C@@H](C)[C@H]2CC[C@H]3/C(=C/C=C4C[C@@H](O)C(=C)[C@H](O)C4)CCC[C@]23C)OC1=O,IC50,300.0,nM,6.52,,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL3350951,C[C@H](/C=C/C[C@H](O)C12CC3CC(CC(C3)C1)C2)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,IC50,400.0,nM,6.4,,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL3350951,C[C@H](/C=C/C[C@H](O)C12CC3CC(CC(C3)C1)C2)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,IC50,400.0,nM,6.4,,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL381178,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@](C)(O)C(=O)N2Cc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,700.0,nM,6.16,,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL206065,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@](C)(O)C(=O)N2C(C)C)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL383259,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@@](C)(O)C(=O)N2C(C)C)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL202889,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@@](C)(O)C(=O)N2C(C)C)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL383450,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@](C)(O)C(=O)N2C(C)C)C[C@@H](O)C[C@@H]1O,IC50,1000.0,nM,,,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL381181,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@](C)(O)C(=O)N2Cc2ccc(OC)cc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL207822,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@@](C)(O)C(=O)N2Cc2ccc(OC)cc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL204737,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@@](C)(O)C(=O)N2Cc2ccc(OC)cc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL203485,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@](C)(O)C(=O)N2Cc2ccc(OC)cc2)C[C@@H](O)C[C@@H]1O,IC50,660.0,nM,6.18,,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL382208,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@](C)(O)C(=O)N2CCCCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL383480,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@@](C)(O)C(=O)N2CCCCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL380353,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@@](C)(O)C(=O)N2CCCCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL426664,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@](C)(O)C(=O)N2CCCCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,390.0,nM,6.41,,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL382770,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@](C)(O)C(=O)N2CCCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL206062,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@@](C)(O)C(=O)N2CCCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL381620,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@@](C)(O)C(=O)N2CCCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL383014,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@](C)(O)C(=O)N2CCCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,2200.0,nM,5.66,,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL204351,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@](C)(O)C(=O)N2CCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL204045,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@@](C)(O)C(=O)N2CCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,2000.0,nM,,,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL206212,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@@](C)(O)C(=O)N2CCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL205727,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@](C)(O)C(=O)N2CCc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,207.0,nM,6.68,,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL382156,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@](C)(O)C(=O)N2Cc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL380887,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@H]2C[C@@](C)(O)C(=O)N2Cc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL205949,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)C[C@@H]2C[C@@](C)(O)C(=O)N2Cc2ccccc2)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Active,CHEMBL861017,9,CHEMBL1977,CHEMBL1146092,8iqn,P11473
CHEMBL442191,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL442191,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL442191,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL442191,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL3350836,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)[C@H](C)CCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL3350836,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)[C@H](C)CCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL3350836,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)[C@H](C)CCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL3350836,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)[C@H](C)CCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL432600,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)OCCCC(O)(CC)CC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL432600,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)OCCCC(O)(CC)CC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL432600,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)OCCCC(O)(CC)CC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL432600,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)OCCCC(O)(CC)CC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL605525,C=C1[C@H](O)CC(=C/C=C2\CCC[C@]3(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL605525,C=C1[C@H](O)CC(=C/C=C2\CCC[C@]3(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@H]1O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL605525,C=C1[C@H](O)CC(=C/C=C2\CCC[C@]3(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL605525,C=C1[C@H](O)CC(=C/C=C2\CCC[C@]3(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@H]1O,IC50,,,,Not Determined,CHEMBL859065,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
CHEMBL383902,C=C1C[C@H](C[C@@H](C)[C@H]2CC[C@H]3/C(=C/C=C4/C[C@@H](O)C[C@H](O)C4=C)CCC[C@]23C)OC1=O,IC50,,,,Not Determined,CHEMBL858933,9,CHEMBL1977,CHEMBL1149414,8iqn,P11473
